,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60,P61,P62,P63,P64,P65,P66,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96
count,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0,1067.0
mean,0.06309990627928772,0.06498912839737582,0.06770281162136832,0.06464695407685099,0.06769119025304593,0.0738912839737582,0.07328275538894095,0.07677750702905342,0.08324114339268979,0.08833130271790066,0.0864269915651359,0.08648275538894096,0.0817427366447985,0.08036991565135894,0.07623945641986879,0.07359156513589503,0.07429840674789127,0.07330590440487347,0.06899531396438613,0.06735257731958762,0.0650178069353327,0.06635426429240862,0.06314367385192128,0.06505848172446109,0.06624789128397375,0.06757029053420806,0.06914798500468604,0.07119165885660732,0.07026176194939082,0.0705656044985942,0.07132099343955015,0.07100937207122775,0.07190393626991565,0.06998050609184629,0.0725900656044986,0.07779390815370196,0.0769962511715089,0.0776389878163074,0.07596991565135895,0.0758788191190253,0.07605023430178069,0.07566785379568883,0.07221940018744144,0.0731090909090909,0.06588828491096531,0.06511218369259607,0.06404751640112463,0.06462633552014996,0.06830065604498595,0.06626897844423618,0.06821733833177133,0.06972089971883787,0.07049934395501405,0.0734415182755389,0.07645229615745079,0.0775622305529522,0.07635857544517338,0.07827778819119026,0.07278472352389878,0.07210224929709465,0.07014151827553888,0.06953420805998126,0.06534554826616683,0.0641668228678538,0.0634078725398313,0.060709653233364566,0.05950346766635426,0.058227928772258665,0.056362511715089034,0.05382371134020618,0.05296176194939081,0.05003336457357076,0.04739493908153702,0.04480552952202437,0.04582427366447985,0.04621574507966261,0.04453392689784442,0.04429597000937207,0.0437008434864105,0.04263570759137769,0.036547610121836924,0.03743701968134958,0.03601415182755389,0.033391377694470474,0.02381377694470478,0.0223991565135895,0.022295782567947512,0.020976944704779756,0.021223430178069352,0.020908434864104968,0.021926522961574508,0.022168697282099345,0.020567760074976568,0.020890253045923145,0.01958791002811621,0.016206747891283974
std,0.04772333346712562,0.050108645132047096,0.0502234120484753,0.048874335718587125,0.0499207508654313,0.05596268614919044,0.05579896374712071,0.05711317506177254,0.05976603291376005,0.06268776145094812,0.06562006699152878,0.06650715998286257,0.06457401509236632,0.0655211571196134,0.06207423843876801,0.061845256294720645,0.0622531617022337,0.05915002036195864,0.0562076725596098,0.05224029843784054,0.05061050734504191,0.05220995703503191,0.04866081060313258,0.05117691210670203,0.053503266744221956,0.053905675281820345,0.052886988110634636,0.05514136493920135,0.05152797633432016,0.052592031438341846,0.052254258870632675,0.05450951382853246,0.05190136484762796,0.053296628014512924,0.05493881070657703,0.05856594533919633,0.06010629284831059,0.06050947593062212,0.06559911155970423,0.06308086416156401,0.06276197259470755,0.06384832892382615,0.06220566195594436,0.0618799800756545,0.05389048100827608,0.05518200774707386,0.052896616405286395,0.053204272969965064,0.053512464308254244,0.04930986740630231,0.05058060634768895,0.052715513912601396,0.053483837659158213,0.0552108622998369,0.05784374437641845,0.058381440514267066,0.05734877208369157,0.05992734471849645,0.05986831281221071,0.05974884013413934,0.06060710218770869,0.059130493441219255,0.05649526891110405,0.057620041475785325,0.05594251081088639,0.054870347529970616,0.054896018517987595,0.05629371503516367,0.05609500066741009,0.05364959071219827,0.054855591931209625,0.048577680892390375,0.04709907497678583,0.04748329396528269,0.04611663146079613,0.047118111895085996,0.047339221249654416,0.04650130213302249,0.044480086499159,0.04625096651838098,0.046318615157804346,0.04746658731739253,0.04693780240752085,0.04531996669787004,0.0416382057234867,0.040760478564368034,0.039128758096207875,0.036750986417563254,0.03739528135704503,0.035736812391857095,0.03686105496042772,0.03733639023936583,0.0358078163266237,0.03616060275993992,0.03544362744014395,0.03242939843920466
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0236,0.0234,0.0252,0.0242,0.025,0.0256,0.025,0.02665,0.0294,0.030350000000000002,0.0287,0.02855,0.0258,0.02555,0.0253,0.0239,0.02375,0.02545,0.0243,0.0242,0.0233,0.02375,0.022850000000000002,0.0237,0.0223,0.0225,0.0231,0.023149999999999997,0.0242,0.0245,0.0266,0.0259,0.026549999999999997,0.0238,0.0264,0.02855,0.02645,0.027299999999999998,0.0243,0.0252,0.0249,0.025599999999999998,0.0247,0.0246,0.0247,0.0241,0.0245,0.0236,0.02605,0.025050000000000003,0.0263,0.0254,0.0255,0.0259,0.02635,0.02725,0.026,0.02765,0.02465,0.0254,0.022,0.022350000000000002,0.0202,0.017750000000000002,0.0173,0.015649999999999997,0.0158,0.0141,0.0126,0.0122,0.0121,0.012,0.011,0.0109,0.01115,0.0119,0.0113,0.0113,0.0104,0.010450000000000001,0.0053,0.0008500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0619,0.0651,0.0679,0.0576,0.0636,0.0704,0.0698,0.0733,0.0793,0.0846,0.081,0.0803,0.0697,0.0691,0.068,0.0605,0.0626,0.0653,0.0583,0.0567,0.0562,0.0572,0.0547,0.0551,0.0574,0.0598,0.063,0.0621,0.0699,0.0645,0.0675,0.0617,0.0676,0.0643,0.0629,0.0686,0.0654,0.0673,0.0587,0.0603,0.061,0.0572,0.0555,0.0575,0.052,0.0511,0.0504,0.0519,0.0594,0.058,0.0616,0.0641,0.0642,0.0679,0.0695,0.0687,0.0693,0.0701,0.0595,0.0593,0.0554,0.0571,0.0502,0.0493,0.0515,0.0468,0.0455,0.0387,0.0365,0.0346,0.0331,0.0338,0.0322,0.03,0.0311,0.0305,0.0281,0.0285,0.0279,0.0278,0.0174,0.018,0.018,0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0926,0.0946,0.0949,0.09284999999999999,0.09385,0.10039999999999999,0.10114999999999999,0.1061,0.1184,0.12595,0.12619999999999998,0.1227,0.1152,0.11405,0.10625000000000001,0.1022,0.1037,0.10025,0.09405,0.0954,0.09085,0.09165000000000001,0.0895,0.09265000000000001,0.09425,0.09555,0.0996,0.10205,0.09995000000000001,0.099,0.1021,0.10114999999999999,0.10235,0.1026,0.1076,0.11474999999999999,0.11365,0.1143,0.1094,0.1096,0.11285,0.10700000000000001,0.1004,0.10314999999999999,0.09275,0.09,0.09025,0.0922,0.0961,0.09584999999999999,0.0941,0.0986,0.09925,0.1026,0.10944999999999999,0.11435000000000001,0.1118,0.111,0.10905000000000001,0.10525,0.1057,0.10335,0.09815,0.09484999999999999,0.09179999999999999,0.0915,0.08929999999999999,0.0875,0.08565,0.08324999999999999,0.08165,0.07615,0.07264999999999999,0.06820000000000001,0.0719,0.0737,0.0708,0.07175000000000001,0.0735,0.0719,0.06935,0.07,0.06814999999999999,0.048299999999999996,0.028,0.026099999999999998,0.0246,0.02545,0.0262,0.02655,0.027450000000000002,0.027549999999999998,0.025,0.02515,0.024149999999999998,0.0225
max,0.2626,0.2761,0.3287,0.2518,0.3046,0.3213,0.283,0.2877,0.2788,0.3119,0.4205,0.3688,0.3823,0.348,0.3941,0.3649,0.3456,0.3721,0.3643,0.2774,0.3829,0.3493,0.3284,0.3445,0.3355,0.3545,0.3526,0.3067,0.3122,0.3397,0.3486,0.3051,0.3152,0.2727,0.3238,0.3231,0.3328,0.3101,0.3798,0.3657,0.3598,0.3492,0.3436,0.3771,0.3075,0.3866,0.3164,0.3149,0.3239,0.2873,0.27,0.3819,0.2703,0.2814,0.2902,0.3226,0.293,0.3343,0.3129,0.298,0.3185,0.289,0.2928,0.3345,0.3163,0.2976,0.3302,0.2893,0.3187,0.3478,0.4499,0.2825,0.2937,0.2724,0.2646,0.2743,0.2685,0.2836,0.3076,0.3933,0.3367,0.3355,0.3311,0.3486,0.3337,0.3364,0.3021,0.2922,0.3288,0.2964,0.2957,0.2853,0.2733,0.2688,0.2559,0.248
